epoch,step,train_loss
0,19,0.447665274143219
0,39,0.510338306427002
1,59,0.4558849632740021
1,79,0.36105671525001526
1,99,0.38492444157600403
2,119,0.3258405327796936
2,139,0.29995715618133545
2,159,0.30735325813293457
3,179,0.31723931431770325
3,199,0.4519219696521759
3,219,0.18305836617946625
4,239,0.4223552644252777
4,259,0.16683225333690643
