epoch,step,train_loss
0,19,0.46601638197898865
0,39,0.4942725598812103
1,59,0.5814434289932251
1,79,0.4022614061832428
1,99,0.4255463778972626
2,119,0.40725719928741455
2,139,0.2834760844707489
2,159,0.3382505476474762
3,179,0.25276699662208557
3,199,0.19843481481075287
3,219,0.3778274655342102
4,239,0.20410071313381195
4,259,0.41043227910995483
