epoch,phase,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,warmup,1.6216489402040082,0.6550542547115934,0.45780913625166264,0.9863760217983651,198.76631039999484
2,warmup,0.42301166227788395,0.9514563106796117,0.16926416198466715,0.9918256130790191,178.1309812000036
3,warmup,0.25865298171747353,0.9731581953169617,0.11014816142638957,0.9918256130790191,178.0966858000029
4,warmup,0.2283037534820768,0.9628783552255854,0.09269668673462049,0.9918256130790191,176.35122190000402
5,warmup,0.2070644669179437,0.9720159908623643,0.08857117201473148,0.9918256130790191,191.60232139999425
6,finetune,0.18818292775745055,0.950885208452313,3.3168900194869706,0.05449591280653951,273.34356529999786
7,finetune,3.0151707511980286,0.08166761850371217,2.977229856340372,0.08446866485013624,225.31844420000562
8,finetune,2.9155387783105002,0.11593375214163336,2.6985200451895066,0.1444141689373297,224.69217729999946
9,finetune,2.71785437618236,0.14905768132495717,2.7739939852046707,0.12806539509536785,223.82558009999775
10,finetune,2.5592026383722937,0.17875499714448886,2.2607122828590125,0.27520435967302453,222.8503922000018
11,finetune,2.434965436898389,0.1907481439177613,2.317139356597568,0.23978201634877383,220.06111309999687
12,finetune,2.276846692468152,0.24443175328383782,1.9135600380416786,0.31607629427792916,223.21877209999366
13,finetune,2.119681277117138,0.27584237578526555,1.8484442178819744,0.32697547683923706,223.3069695000013
14,finetune,1.8086382081888526,0.3814962878355226,1.4219464872448582,0.4822888283378747,226.67108010000084
15,finetune,1.7901382450373904,0.3946316390633923,1.42572479498159,0.5068119891008175,222.92751509999653
16,finetune,1.4657170229949386,0.5059965733866362,0.9763496883558642,0.667574931880109,222.72340089999489
17,finetune,1.233628726495735,0.577384351798972,0.7731631240662827,0.7465940054495913,220.95478970000113
18,finetune,1.1589685122943618,0.6282124500285551,0.6994034653625956,0.7983651226158038,223.02156079999986
19,finetune,0.9852085923004804,0.6990291262135923,0.4957813590724397,0.8583106267029973,221.00603079999564
20,finetune,0.7940088302867199,0.7418617932609937,0.4062679177733793,0.8664850136239782,222.21337580000545
21,finetune,0.6951586045175876,0.7761279268989149,0.3339797045213325,0.9128065395095368,221.11974439999904
22,finetune,0.479646183571633,0.856082238720731,0.07201234630895245,0.9836512261580381,224.1665351000047
23,finetune,0.16451578769834976,0.9503141062250143,0.024809564897734723,0.9863760217983651,219.88436139999976
24,finetune,0.08325348237049641,0.9765848086807538,0.00835433836813194,0.997275204359673,223.2679388999968
25,finetune,0.10005847278286702,0.9691604797258709,0.012996472692375936,0.997275204359673,223.128022900004
26,finetune,0.16591305832465264,0.9486007995431183,0.006220976116607722,0.997275204359673,224.13316720000148
27,finetune,0.08362055573769889,0.9760137064534552,0.008829171013097185,0.997275204359673,219.30762710000272
28,finetune,0.04659153501414611,0.9828669331810395,0.006510760208334246,0.997275204359673,221.5967673999985
29,finetune,0.04822680972216556,0.9851513420902341,0.004739791100301681,1.0,218.78169969999726
30,finetune,0.03163870391251757,0.9908623643632211,0.012943011819818297,0.9945504087193461,200.37477229999058
31,finetune,0.025603022317863204,0.9908623643632211,0.005858021455389328,0.997275204359673,206.29019689999404
32,finetune,0.033767409697398415,0.9908623643632211,0.0019933382320891538,1.0,200.92553400000907
33,finetune,0.02716677213442176,0.9902912621359223,0.0016635010350902872,1.0,199.83275330001197
34,finetune,0.03202397172542173,0.9920045688178184,0.001308892842535087,1.0,200.69724239999778
35,finetune,0.04216229479935718,0.9885779554540263,0.0014453864850995843,1.0,200.93438099999912
36,finetune,0.037320050331676166,0.9914334665905197,0.0020643090674614317,1.0,229.33699420001358
37,finetune,0.02104979893033085,0.9942889777270132,0.0016192692260280739,1.0,223.2920749999903
38,finetune,0.01871627099441842,0.9942889777270132,0.0015452678330567455,1.0,222.08587980001175
39,finetune,0.016337438352748555,0.9960022844089091,0.0011411098900063303,1.0,225.45809010000085
40,finetune,0.01807474878843744,0.9948600799543118,0.0013570480046436008,1.0,221.29943379999895
41,finetune,0.018187312655276414,0.9954311821816105,0.0011172562193509942,1.0,223.52485469999374
42,finetune,0.02360575237237425,0.9942889777270132,0.0012263153786409382,1.0,222.99059419998957
43,finetune,0.009211454297953644,0.9982866933181039,0.0012411200572268362,1.0,221.38179309999396
44,finetune,0.016592920609352406,0.9954311821816105,0.0012868698448455342,1.0,224.1470507000049
45,finetune,0.01650899182316974,0.9954311821816105,0.0010121358535220791,1.0,225.03398789999483
46,finetune,0.023176361328563457,0.9931467732724157,0.0010065937089468594,1.0,225.32837280000967
47,finetune,0.03144009312937118,0.9914334665905197,0.000900159154023229,1.0,211.86251930000435
48,finetune,0.02708075524479053,0.9920045688178184,0.0008498141796636453,1.0,201.89767160000338
49,finetune,0.01703201315252973,0.9954311821816105,0.000836776753149074,1.0,205.71811980000348
50,finetune,0.009575917065725463,0.9960022844089091,0.0008382337775788136,1.0,206.69768729999487
