epoch,step,train_loss
0,19,0.5899198055267334
0,39,0.6061809659004211
1,59,0.5671921968460083
1,79,0.3707781732082367
1,99,0.3550703227519989
2,119,0.30719804763793945
2,139,0.30489015579223633
2,159,0.34457969665527344
